Year,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1930,St. Louis Browns,AL,154,64,90,0,0.416,0.425,6th of 8,38,,751,886,"152,088",28.9,27.7,31,10,L.Stewart (7.8),B.Killefer (64-90)
1929,St. Louis Browns,AL,154,79,73,2,0.52,0.513,4th of 8,26,,733,713,"280,697",29.6,28.8,30,13,S.Gray (6.2),D.Howley (79-73)
1928,St. Louis Browns,AL,154,82,72,0,0.532,0.518,3rd of 8,19,,772,742,"339,497",28.7,27.1,31,11,H.Manush (7.3),D.Howley (82-72)
1927,St. Louis Browns,AL,155,59,94,2,0.386,0.4,7th of 8,50.5,,724,904,"247,879",31.6,29.3,30,14,K.Williams (3.6),D.Howley (59-94)
1926,St. Louis Browns,AL,155,62,92,1,0.403,0.403,7th of 8,29,,682,845,"283,986",29.8,28.4,28,13,T.Zachary (4.5),G.Sisler (62-92)
1925,St. Louis Browns,AL,154,82,71,1,0.536,0.497,3rd of 8,15,,900,906,"462,898",29.3,29.6,29,14,H.Rice (4.5),G.Sisler (82-71)
1924,St. Louis Browns,AL,153,74,78,1,0.487,0.478,4th of 8,17,,769,807,"533,349",29.8,29.4,33,14,E.Wingard (5.2),G.Sisler (74-78)
1923,St. Louis Browns,AL,154,74,78,2,0.487,0.479,5th of 8,24,,688,720,"430,296",29.5,28.9,33,12,K.Williams (7.7),L.Fohl (52-49) and J.Austin (22-29)
1922,St. Louis Browns,AL,154,93,61,0,0.604,0.633,2nd of 8,1,,867,643,"712,918",29,27.6,26,10,G.Sisler (8.7),L.Fohl (93-61)
1921,St. Louis Browns,AL,154,81,73,0,0.526,0.495,3rd of 8,17.5,,835,845,"355,978",27.8,27.2,34,15,U.Shocker (8.5),L.Fohl (81-73)
1920,St. Louis Browns,AL,154,76,77,1,0.497,0.518,4th of 8,21.5,,797,766,"419,311",28.5,27.1,37,17,G.Sisler (9.9),J.Burke (76-77)
1919,St. Louis Browns,AL,140,67,72,1,0.482,0.472,5th of 8,20.5,,533,567,"349,350",28.7,27.7,32,14,G.Sisler (6.1),J.Burke (67-72)
1918,St. Louis Browns,AL,123,58,64,1,0.475,0.477,5th of 8,15,,426,448,"122,076",28.3,26.8,26,12,G.Sisler (6.6),"F.Jones (22-24), J.Austin (7-9) and J.Burke (29-31)"
1917,St. Louis Browns,AL,155,57,97,1,0.37,0.367,7th of 8,43,,510,687,"210,486",28.1,27.5,40,15,G.Sisler (5.8),F.Jones (57-97)
1916,St. Louis Browns,AL,158,79,75,4,0.513,0.535,5th of 8,12,,588,545,"335,740",28.2,28,32,12,G.Sisler (5.1),F.Jones (79-75)
1915,St. Louis Browns,AL,159,63,91,5,0.409,0.381,6th of 8,39.5,,522,680,"150,358",27.3,25.3,46,23,C.Weilman (5.9),B.Rickey (63-91)
1914,St. Louis Browns,AL,159,71,82,6,0.464,0.426,5th of 8,28.5,,523,615,"244,714",26.8,24.6,38,11,C.Weilman (6.9),B.Rickey (71-82)
1913,St. Louis Browns,AL,155,57,96,2,0.373,0.412,8th of 8,39,,528,642,"250,330",26.3,23.6,41,13,B.Shotton (4.9),"G.Stovall (50-84), J.Austin (2-6) and B.Rickey (5-6)"
1912,St. Louis Browns,AL,157,53,101,3,0.344,0.356,7th of 8,53,,552,764,"214,070",27.7,25.8,45,16,E.Hamilton (3.9),B.Wallace (12-27) and G.Stovall (41-74)
1911,St. Louis Browns,AL,152,45,107,0,0.296,0.341,8th of 8,56.5,,567,812,"207,984",28,27.4,46,19,F.LaPorte (3.8),B.Wallace (45-107)
1910,St. Louis Browns,AL,158,47,107,4,0.305,0.286,8th of 8,57,,451,743,"249,889",28.2,27.1,42,20,B.Wallace (4.4),J.O'Connor (47-107)
1909,St. Louis Browns,AL,154,61,89,4,0.407,0.381,7th of 8,36,,441,575,"366,274",30,28.4,32,13,B.Bailey (3.9),J.McAleer (61-89)
1908,St. Louis Browns,AL,155,83,69,3,0.546,0.554,4th of 8,6.5,,544,483,"618,947",30,29.5,23,8,B.Wallace (6.3),J.McAleer (83-69)
1907,St. Louis Browns,AL,155,69,83,3,0.454,0.488,6th of 8,24,,541,555,"419,025",30.4,29.2,25,9,G.Stone (5.4),J.McAleer (69-83)
1906,St. Louis Browns,AL,154,76,73,5,0.51,0.553,5th of 8,16,,560,499,"389,157",28.7,28.1,19,6,G.Stone (8.7),J.McAleer (76-73)
1905,St. Louis Browns,AL,156,54,99,3,0.353,0.422,8th of 8,40.5,,512,608,"339,112",29.1,27.6,25,9,H.Howell (6.4),J.McAleer (54-99)
1904,St. Louis Browns,AL,156,65,87,4,0.428,0.397,6th of 8,29,,481,604,"318,108",29.4,26.8,25,8,H.Howell (6.7),J.McAleer (65-87)
1903,St. Louis Browns,AL,139,65,74,0,0.468,0.478,6th of 8,26.5,,500,525,"380,405",28.4,27.7,26,10,W.Sudhoff (6.5),J.McAleer (65-74)
1902,St. Louis Browns,AL,140,78,58,4,0.574,0.509,2nd of 8,5,,619,607,"272,283",27.9,26.8,21,12,J.Powell (6.2),J.McAleer (78-58)
1901,Milwaukee Brewers,AL,139,48,89,2,0.35,0.385,8th of 8,35.5,,641,828,"139,034",26.3,26.1,26,6,J.Anderson (4.4),H.Duffy (48-89)
